geo_key,latitude,longitude
"Kottivakkam,Chennai, Tirupati, Andhra Pradesh, India",12.9705053,80.2615033
"Perungudi,Chennai, Tirupati, Andhra Pradesh, India",12.9710239,80.2418051
"Kolanupaka,Hyderabad, Tirupati, Andhra Pradesh, India",,
"Anjimedu,Tirupati, Tirupati, Andhra Pradesh, India",,
"Kondapur,Hyderabad, Tirupati, Andhra Pradesh, India",17.4587912,78.3730556
"Kompally,Hyderabad, Tirupati, Andhra Pradesh, India",17.5354868,78.5096979
"Bahadurpally,Hyderabad, Tirupati, Andhra Pradesh, India",,
"Gopanapalli,Hyderabad, Tirupati, Andhra Pradesh, India",,
"Kukatpally,Hyderabad, Tirupati, Andhra Pradesh, India",17.4930841,78.4054408
"Mangalam Road,Tirupati, Tirupati, Andhra Pradesh, India",13.6563986,79.4685982
"Manikonda,Hyderabad, Tirupati, Andhra Pradesh, India",17.3999951,78.3861689
"LIC Colony,Vijayawada, Tirupati, Andhra Pradesh, India",16.5088095,80.6538021
"Nallagandla,Hyderabad, Tirupati, Andhra Pradesh, India",17.4774828,78.3060359
"Mangalam,Tirupati, Tirupati, Andhra Pradesh, India",13.3986645,79.5646421
"Miyapur,Hyderabad, Tirupati, Andhra Pradesh, India",17.4981608,78.3567628
"Renigunta,Tirupati, Tirupati, Andhra Pradesh, India",13.6384508,79.5105191
"Thondavada,Tirupati, Tirupati, Andhra Pradesh, India",,
"Padmavathi Nagar,Tirupati, Tirupati, Andhra Pradesh, India",13.6206032,79.405172
"Ameenpur,Hyderabad, Tirupati, Andhra Pradesh, India",17.5236905,78.3317297
"Karakambadi Road,Tirupati, Tirupati, Andhra Pradesh, India",13.6586253,79.4799
"Cherlopalli,Tirupati, Tirupati, Andhra Pradesh, India",13.6117907,79.3639369
"Surappakasam,Tirupati, Tirupati, Andhra Pradesh, India",13.5831527,79.503938
"Akkarampalle,Tirupati, Tirupati, Andhra Pradesh, India",13.6434265,79.4356125
"Rangampet,Tirupati, Tirupati, Andhra Pradesh, India",13.6238842,79.2779619
"Avilala,Tirupati, Tirupati, Andhra Pradesh, India",13.6122993,79.4184205
"SV Auto Nagar,Tirupati, Tirupati, Andhra Pradesh, India",,
"Andheri West,Mumbai, Vizianagaram, Andhra Pradesh, India",19.1172495,72.833968
"Akkivaram,Vizianagaram, Vizianagaram, Andhra Pradesh, India",18.017289,83.4661214
"Bhogapuram,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",,
"Thatituru,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",,
"Anandapuram,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.9038926,83.3704973
"Dwarapudi,Vizianagaram, Vizianagaram, Andhra Pradesh, India",18.1402595,83.3710232
"Etcherla,Srikakulam, Vizianagaram, Andhra Pradesh, India",18.2800048,83.8200482
"Bhogapuram,Vizianagaram, Vizianagaram, Andhra Pradesh, India",18.0321195,83.4978188
"Kothavalasa,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.8992664,83.2568241
"Parawada,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.629732,83.089794
"Jonnada,Vizianagaram, Vizianagaram, Andhra Pradesh, India",18.0265966,83.4061689
"Shankarpalle Rangareddy,Hyderabad, Vizianagaram, Andhra Pradesh, India",,
"Modavalasa,Vizianagaram, Vizianagaram, Andhra Pradesh, India",,
"Sadashivpet,Hyderabad, Vizianagaram, Andhra Pradesh, India",,
"Visakhapatnam,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.6935526,83.2921297
"Srisailam Highway,Hyderabad, Vizianagaram, Andhra Pradesh, India",17.3232946,78.480139
"Kesarapalli,Vijayawada, Vizianagaram, Andhra Pradesh, India",,
"Kondakal,Hyderabad, Vizianagaram, Andhra Pradesh, India",,
"Padmanabham,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.9894415,83.3325255
"Thagarapuvalasa,Vizianagaram, Vizianagaram, Andhra Pradesh, India",,
"Simhachalam,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.7453138,83.2207916
"Patancheru,Hyderabad, Vizianagaram, Andhra Pradesh, India",17.5286092,78.2674254
"Majjivalasa,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.9492962,83.3927994
"Kompally,Hyderabad, Vizianagaram, Andhra Pradesh, India",17.5354868,78.5096979
"Medchal,Hyderabad, Vizianagaram, Andhra Pradesh, India",17.3630295,78.5768953
"Bachupally,Hyderabad, Vizianagaram, Andhra Pradesh, India",17.536648,78.3644736
"Sangareddy,Hyderabad, Vizianagaram, Andhra Pradesh, India",17.5277951,78.267446
"Vizag,Visakhapatnam, Vizianagaram, Andhra Pradesh, India",17.6935526,83.2921297
