address,lat,lon
"Lemoor,Hyderabad, India",,
"Pendurthi,Visakhapatnam, India",17.7992135,83.20117
"Balaji Nagar,Vizianagaram, India",18.1045868,83.3974793
"Ravada,Vizianagaram, India",17.9703654,83.4596109
"Madhavadhara,Visakhapatnam, India",17.747455,83.2592912
"Bhanur,Hyderabad, India",,
"Korada,Visakhapatnam, India",17.9976377,83.3802324
"Telaprolu,Vijayawada, India",,
"Vuyyuru,Vijayawada, India",16.3716365,80.841741
"Kankipadu,Vijayawada, India",16.4047197,80.7979453
"Namburu,Vijayawada, India",16.5154549,80.6357371
"Dwarapureddi Palem,Vizianagaram, India",,
"Tagarapuvalsa,Visakhapatnam, India",,
"Bheemunipatnam,Visakhapatnam, India",17.8913852,83.4508737
"Pandrangi,Visakhapatnam, India",17.9631019,83.3664451
"Potpally,Hyderabad, India",,
"Kapuluppada,Visakhapatnam, India",17.8536175,83.3855601
"Bheemili,Visakhapatnam, India",17.8898601,83.4382376
"Savaravilli,Visakhapatnam, India",17.9703589,83.39232
"Dakamarri,Visakhapatnam, India",17.9889945,83.4009707
"Pydibimavaram,Srikakulam, India",,
"K Seetharampuram,Vizianagaram, India",18.4809654,83.7169784
"Polipalle,Vizianagaram, India",17.9667254,83.4383252
"Maddi,Visakhapatnam, India",17.9808418,83.3241221
"Revidi,Visakhapatnam, India",17.9641784,83.3728604
"S.Kota,Visakhapatnam, India",,
"Yendada,Visakhapatnam, India",17.7831798,83.3575511
"NH -5,Visakhapatnam, India",17.6935526,83.2921297
"Pothinamallayya Palem,Visakhapatnam, India",,
"Seethammadhara,Visakhapatnam, India",17.7450158,83.3061606
"Maddilapalem,Visakhapatnam, India",17.7352245,83.3209373
"Seetamma Peta,Visakhapatnam, India",17.734685,83.3097826
"Pusapatirega,Vizianagaram, India",18.0914739,83.551775
"Lankalapalem,Visakhapatnam, India",,
"Raikal,Jagtial, India",18.9047907,78.8080213
"Konada village,Vizianagaram, India",18.0164999,83.5631501
"Kumaram,Vizianagaram, India",18.0459233,83.3216122
"Arinam Akkivalasa,Srikakulam, India",18.2693492,83.7786675
"Chinamushidiwada,Visakhapatnam, India",17.8127687,83.2255539
"Korukonda,Vizianagaram, India",18.0641785,83.3349717
"Srikakulam,Srikakulam, India",18.2949307,83.8938844
"Shadnagar,Hyderabad, India",17.0943572,78.2091059
"Gidijala,Visakhapatnam, India",17.8935482,83.2929309
"Ramatheertham,Visakhapatnam, India",,
"Sarika,Vizianagaram, India",18.079367,83.3619573
"Jetpur,Rajkot, India",21.7543725,70.6189391
"Denkada,Vizianagaram, India",18.076142,83.4750949
"Karakavalasa,Vizianagaram, India",18.037804,83.0984058
"Gunkalam,Vizianagaram, India",18.1542023,83.350515
"Gurla,Vizianagaram, India",18.211804,83.4658385
"Nellimerla,Visakhapatnam, India",,
"BC Colony,Vizianagaram, India",18.0947131,83.3871052
"Pusapatirega,Visakhapatnam, India",,
"Ulwe,Navi Mumbai, India",18.9768614,73.0201311
"Whitefield,Bangalore, India",12.9963995,77.7614229
"Beltola,Guwahati, India",26.1229512,91.7992441
"Senchowa,Nagaon, India",26.3245485,92.6566756
"Dhirenpara,Guwahati, India",26.1502556,91.7291425
"Lankeshwar,Guwahati, India",26.1472457,91.646027
"Sodepur,Kolkata, India",22.6999347,88.3799386
"Dharapur,Guwahati, India",26.1628292,91.6456195
"Mugalivakkam,Chennai, India",13.0205798,80.1685163
"Perumbakkam,Chennai, India",12.9050095,80.1968629
"Madambakkam,Chennai, India",,
"Kandivali West,Mumbai, India",19.2139829,72.83733
"Jalukbari,Guwahati, India",26.1554983,91.671224
"Amingaon,Guwahati, India",26.1861581,91.6699507
"Kahilipara,Guwahati, India",26.1299619,91.7862307
"Dolaigaon,Bongaigaon, India",,
"Odalbakra,Guwahati, India",,
"Ulubari,Guwahati, India",26.175003,91.7576927
"Noonmati,Guwahati, India",26.1979372,91.7998576
"Bagharbari,Guwahati, India",26.139317,91.8288171
"Tarun Nagar,Guwahati, India",,
"Panjabari,Guwahati, India",,
"GS Road,Guwahati, India",,
"Hengrabari,Guwahati, India",26.1472525,91.8136272
"Rajgarh Road,Guwahati, India",26.1815655,91.7744252
"Maligaon,Guwahati, India",26.1600453,91.6958086
"Panjabari Bus Stand,Guwahati, India",,
"Kharghuli Hills,Guwahati, India",,
"Geetanagar,Guwahati, India",,
"Ananth Nagar,Bangalore, India",,
"Avadi,Chennai, India",13.0381702,80.1347679
"Sompura,Bangalore, India",12.8778283,77.4972385
"Pragathi Nagar,Bangalore, India",12.957534,77.7009125
"Anakaputhur,Chennai, India",12.9722109,80.1393765
"Ganeshguri,Guwahati, India",26.1551026,91.78227
"Betkuchi,Guwahati, India",,
"VIP Road,Guwahati, India",26.1804312,91.7508726
"Birubari,Guwahati, India",26.1685973,91.7484436
"Narengi Tinali,Guwahati, India",,
"Six Mile,Guwahati, India",26.1161377,91.7973256
"Zoo Road,Guwahati, India",26.1729318,91.7835573
"Survey,Guwahati, India",25.5748618,91.8826797
"Silpukhuri,Guwahati, India",26.1843424,91.7630711
"Jayanagar,Guwahati, India",26.1277782,91.805705
"Lokhra,Guwahati, India",26.1092885,91.7218968
"Hatigaon,Guwahati, India",26.1764006,91.7569564
"Bhetapara,Guwahati, India",26.1161783,91.7972485
"Khanapara,Guwahati, India",26.1161377,91.7973256
