city,state,country,builder_name,project_name,location_text,status,project_type,budget_raw,source
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Dharani,"Dundigal,Hyderabad",completed,,₹58.5 Lac   -₹63.8 Lac,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Hill park Silver oaks,"Chanda Nagar,Hyderabad",completed,"2, 3 BHK 
										Multistorey Apartment..",₹1.35 Cr   -₹1.65 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna WestSide,"Manikonda,Hyderabad",completed,"2, 3, 4 BHK 
										..",₹2.47 Cr   -₹3.46 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Elina,"Yeswanthpur,Bangalore",completed,"3, 4 BHK 
										..",₹1.62 Cr   -₹2.35 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna HillPark Boulevard,"Chanda Nagar,Hyderabad",completed,"3, 4 BHK 
										Villa..",₹1.89 Cr Onwards,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Oosmans Everest,"Mettuguda,Hyderabad",completed,"3, 4 BHK 
										Multistorey Apartment..",₹2.20 Cr   -₹2.57 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Hights 2,"Kondapur,Hyderabad",completed,"3, 4 BHK 
										..",₹1.62 Cr   -₹3.20 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Hights I,"Kondapur,Hyderabad",completed,"2, 3 BHK 
										Multistorey Apartment..",₹1.60 Cr   -₹1.69 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Residency,"Kondapur,Hyderabad",completed,"2, 3 BHK 
										..",₹1.11 Cr   -₹2.34 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Palm Meadows,"Kompally,Hyderabad",completed,"3, 4 BHK 
										..",₹1.01 Cr   -₹1.20 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Cyber County,"Gopanapalli,Hyderabad",completed,"3 BHK 
										Villa..",₹7.60 Cr   -₹8.50 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Luxor Park,"Kondapur,Hyderabad",completed,"3, 4 BHK 
										..",₹2.55 Cr   -₹4.43 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Sarovar Zenith,"Nallagandla,Hyderabad",completed,"2, 3, 4 BHK 
										Multistorey Apartment..",₹1.60 Cr   -₹3.43 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Aura,"Jubilee Hills,Hyderabad",completed,"3 BHK 
										Multistorey Apartment..",₹2.21 Cr   -₹3.04 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Chandradeep,"Banjara Hills,Hyderabad",completed,"3, 4 BHK 
										..",₹2.87 Cr   -₹3.16 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Hillpark Gardenia,"Chanda Nagar,Hyderabad",completed,"4 BHK 
										..",₹6.69 Cr Onwards,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Palm Springs,"Bahadurpally,Hyderabad",completed,Residential Plot..,₹2.80 Cr Onwards,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Hill Park,"Chanda Nagar,Hyderabad",completed,"2, 3 BHK 
										Multistorey Apartment..",₹1 Cr   -₹1.75 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Orchids,"Madhapur,Hyderabad",completed,"3, 4 BHK 
										..",₹1.64 Cr   -₹2.36 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna County,"Hafeezpet,Hyderabad",completed,"3, 4 BHK 
										Villa..",₹15 Cr Onwards,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna One,"Shaikpet,Hyderabad",completed,"3, 4, 5 BHK 
										Multistorey Apartment..",₹1.95 Cr   -₹8.41 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Western Meadows,"Mokila,Hyderabad",completed,"4, 6 BHK 
										..",₹2.08 Cr   -₹3.89 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Serene Park,"Kondapur,Hyderabad",completed,"2, 3 BHK 
										Multistorey Apartment..",₹1.74 Cr   -₹3 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Kanopy Marigold,"Kompally,Hyderabad",completed,"2, 3 BHK 
										Multistorey Apartment..",₹86.2 Lac   -₹1.36 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Kanopy Tulip,"Kompally,Hyderabad",completed,"2, 3 BHK 
										Multistorey Apartment..",₹78.9 Lac   -₹97.9 Lac,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Kanopy Lotus,"Kompally,Hyderabad",completed,"3 BHK 
										..",₹1.01 Cr   -₹1.20 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Sarovar Grande,"Nallagandla,Hyderabad",completed,"3 BHK 
										Multistorey Apartment..",₹2.20 Cr   -₹4.45 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna HillPark Lake Breeze,"Chanda Nagar,Hyderabad",completed,"2, 3 BHK 
										Multistorey Apartment..",₹1.34 Cr   -₹1.65 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Hill Park Avenues,"Chanda Nagar,Hyderabad",completed,"2, 3 BHK 
										Multistorey Apartment..",₹95 Lac   -₹1.45 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna CyberLife,"Nallagandla,Hyderabad",completed,"2, 3 BHK 
										Multistorey Apartment..",₹1.38 Cr   -₹2.12 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Kanopy Jasmine,"Kompally,Hyderabad",completed,"3 BHK 
										Residential Plot..",₹2.15 Cr   -₹2.70 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna CyberZon,"Nallagandla,Hyderabad",completed,"2, 3 BHK 
										Multistorey Apartment..",₹1.20 Cr   -₹1.78 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Sarovar,"Nallagandla,Hyderabad",completed,"3 BHK 
										Multistorey Apartment..",₹1.55 Cr   -₹1.83 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Amaravati One,"Tadepalli,Guntur",completed,"3 BHK 
										Multistorey Apartment..",₹1.20 Cr Onwards,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Shangri La,"Gopanapalli,Hyderabad",completed,"5 BHK 
										..",₹1.50 Cr   -₹1.65 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Kanopy Lotus,"Gundlapochampally,Hyderabad",completed,,₹93.0 Lac   -₹1.04 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna HillPark Gardenia,"Miyapur,Hyderabad",completed,,₹1.10 Cr   -₹1.22 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Maple,"Thanisandra Main Road,Bangalore",completed,,₹66.9 Lac   -₹91.3 Lac,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Avenues,"Chanda Nagar,Hyderabad",completed,,₹1.06 Cr   -₹1.19 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Cyber Commune,"Gachibowli,Hyderabad",completed,,₹1.53 Cr   -₹1.91 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Towers,"Gachibowli,Hyderabad",completed,,₹1.53 Cr   -₹1.91 Cr,magicbricks
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Senor Valley 2,"Jubilee Hills,Hyderabad",completed,,₹2.13 Cr   -₹3.17 Cr,magicbricks
