city,state,country,builder_name,project_name,location_text,status,budget_raw,latitude,longitude,project_type,source,geo_key
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Cyber Shine,"Osman Nagar,Hyderabad",ongoing,₹97.2 Lac   -₹1.86 Cr,17.4418133,78.2782231,"2, 3 BHK 
										Multistorey Apartment..",magicbricks,"Osman Nagar,Hyderabad, Guntur, Andhra Pradesh, India"
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Elixir,"Manikonda,Hyderabad",ongoing,₹1.20 Cr   -₹1.40 Cr,17.3999951,78.3861689,"3, 4, 5, 6 BHK 
										..",magicbricks,"Manikonda,Hyderabad, Guntur, Andhra Pradesh, India"
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Cyberon,"Osman Nagar,Hyderabad",ongoing,₹1.22 Cr   -₹2.11 Cr,17.4418133,78.2782231,"3 BHK 
										Multistorey Apartment..",magicbricks,"Osman Nagar,Hyderabad, Guntur, Andhra Pradesh, India"
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Cyber Star,"Osman Nagar,Hyderabad",ongoing,₹92.2 Lac   -₹1.81 Cr,17.4418133,78.2782231,"2, 3 BHK 
										Multistorey Apartment..",magicbricks,"Osman Nagar,Hyderabad, Guntur, Andhra Pradesh, India"
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Cyberscape,"Nallagandla,Hyderabad",ongoing,₹1.51 Cr   -₹2.35 Cr,17.4774828,78.3060359,"2, 3 BHK 
										Multistorey Apartment..",magicbricks,"Nallagandla,Hyderabad, Guntur, Andhra Pradesh, India"
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna CyberHeights,"Osman Nagar,Hyderabad",ongoing,₹1.07 Cr   -₹1.58 Cr,17.4418133,78.2782231,"2, 3 BHK 
										Multistorey Apartment..",magicbricks,"Osman Nagar,Hyderabad, Guntur, Andhra Pradesh, India"
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Avani,"Isnapur,Hyderabad",ongoing,₹1.20 Cr   -₹1.24 Cr,,,Residential Plot..,magicbricks,"Isnapur,Hyderabad, Guntur, Andhra Pradesh, India"
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Serenity,"Kompally,Hyderabad",ongoing,₹1.02 Cr   -₹2.18 Cr,17.5354868,78.5096979,"2, 3, 4 BHK 
										Multistorey Apartment..",magicbricks,"Kompally,Hyderabad, Guntur, Andhra Pradesh, India"
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Altius,"Shamshabad,Hyderabad",ongoing,₹1.22 Cr   -₹1.91 Cr,17.2627038,78.388111,"2, 3 BHK 
										Multistorey Apartment..",magicbricks,"Shamshabad,Hyderabad, Guntur, Andhra Pradesh, India"
Guntur,Andhra Pradesh,India,Aparna Constructions and Estates Pvt. Ltd.,Aparna Kanopy Yellow Bells,"Gundlapochampally,Hyderabad",ongoing,₹87.8 Lac   -₹1.29 Cr,,,"2, 3 BHK 
										Multistorey Apartment..",magicbricks,"Gundlapochampally,Hyderabad, Guntur, Andhra Pradesh, India"
